Id,Note,Name,Description
（id）唯一标识,备注,名称,描述
1,,熔岩之心,巨人族再次融入了大地
2,,星轨沙漏,观测者窥见了时间裂缝中的倒影
3,,虚妄之瞳,看穿谎言者终将被真相灼伤
4,,永霜王冠,寒冰女王的叹息冻结了背叛者的血脉
5,,缚誓锁链,古老契约反噬了违背承诺的君王
6,,辉月棱镜,圣堂骑士用其折射神谕的残光
7,,熵核,地脉暴动的能量在晶体中嘶吼
8,,命运纺锤,纺织女神剪断了凡人的生命线
9,,影渊琥珀,吞噬光明的深渊凝结成实体
10,,龙语石碑,龙族将湮灭的文明刻入龙骨
11,,圣骸布,殉道者的血在布帛上燃烧千年
12,,混沌枝芽,世界树根系蔓延向无序的深渊
13,,时之鳞,银龙鳞片记录了时间河流的涨落
14,,心象罗盘,指向持有者最恐惧的回忆深处
15,,冥河船票,摆渡人只接受灵魂作为船资
16,,天穹齿轮,机械之神遗落的精密神性
17,,蚀日黑钻,日蚀时陨落的星辰核心
18,,歌者之血,人鱼族用歌声封印了海啸
19,,荒原号角,吹响时唤醒地壳下的泰坦
20,,真理砝码,天平两端称量谎言与疯狂
21,,绯红契约,血族公爵签署的致命盟约
22,,空想透镜,将梦境折射为可触摸的实体
23,,寂灭尘埃,诸神黄昏战役的灰烬仍有余温
24,,潮汐圣杯,盛满月海潮汐的液态月光
25,,荆棘王玺,初代精灵王冠上的诅咒冠冕
26,,悖论魔方,六个面同时存在又相互否定
*27,,万物之基-灾,灾之起源
*28,,万物之基-矩,矩之起源
*29,,万物之基-宙,宙之起源
*30,,万物之基-灵,灵之起源
