Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tips,Tips_en,Tips_ja
唯一的标识（不能重复）,备注,名称,,Name,,描述,,Description,,剧情描述,Tips,
1,魔力,士兵,士兵,Soldier,兵士,魔力+2。,魔力+2。,Magic +2.,魔力+2。,,,
2,幸运,法师,法師,Mage,魔術師,精神+2。,精神+2。,Spirit +2.,精神+2。,,,
3,精神,刺客,刺客,Assassin,暗殺者,感知+2。,感知+2。,Perception +2.,感知+2。,,,
4,感知,羽兽,羽獸,Feathered Beast,羽獣,幸运+2。,幸運+2。,Luck +2.,幸運+2。,,,
5,通用,皇后,皇后,Queen,女王,选择道途各+2。,選擇道途各+2。,Choose Path +2 each.,各道筋のステータス+2。,,,
6,"通用,生存",牧师,牧師,Priest,聖職者,战斗开始时恢复2点生命。,戰鬥開始時恢復1點生命。,Restore 2 health at the start of combat.,戦闘開始時にHPを2回復する。,,,
7,"通用,生存",守卫,守衛,Guard,衛兵,最大生命值+5。,最大生命值+5。,Maximum health +5.,最大HP+5。,,,
8,"通用,生存",天使,天使,Angel,天使,战斗开始时获得1层自愈。,戰鬥開始時獲得1層自癒。,Gain 1 layer of {buff_evergreen} at the start of combat.,戦闘開始時に再生を1スタック獲得する。,,,
9,"通用,生存",盾卫,盾衛,Shield Guard,盾衛,战斗开始时你获得1层强韧。,戰鬥開始時你獲得1層強韌。,Gain 1 layer of {buff_resilient} at the start of combat.,戦闘開始時に強靭を1スタック獲得する。,,,
10,"通用,生存",律法,律法,Law,律法,战斗开始时你获得3点护盾。,戰鬥開始時你獲得3點護盾。,Gain 1 shield at the start of combat.,戦闘開始時にシールドを3獲得する。,,,
11,"通用,过牌",工匠,工匠,Craftsman,工匠,战斗开始时你额外抽1张牌。,戰鬥開始時你額外抽1張牌。,Draw an extra card at the start of combat.,戦闘開始時に追加でカードを1枚引く。,,,
12,"过牌,通用",游侠,遊俠,Ranger,レンジャー,战斗开始时获得1层敏锐。,戰鬥開始時獲得1層敏銳。,Gain 1 layer of {buff_fast} at the start of combat.,戦闘開始時に敏速を1スタック獲得する。,,,
14,"精神,充能",命运之轮,命運之輪,Wheel of Fate,運命の輪,战斗开始时获得1层循环。,戰鬥開始時獲得1層循環。,Gain 1 stack of {buff_cycle} at the start of combat.,戦闘開始時に循環を1スタック獲得する。,,,
15,"输出,生命",士官,士官,Sergeant,士官,战斗开始时你获得1层锋锐。,戰鬥開始時你獲得1層鋒銳。,Gain 1 stack of {buff_keenedge} at the start of combat.,戦闘開始時に鋭利を1スタック獲得する。,,,
18,"输出,生命",剑士,劍士,Swordsman,剣士,战斗开始时获得1层爆发。,戰鬥開始時獲得1層爆發。,Gain 1 stack of {buff_erupt} at the start of combat.,戦闘開始時に爆発を1スタック獲得する。,,,
19,高级,主教,主教,Bishop,司教,战斗开始时你获得4层元素。,戰鬥開始時你獲得4層元素。,Gain 4 stack of {buff_elements} at the start of combat.,戦闘開始時に元素を4スタック獲得する。,,,
20,"输出,负面",萨满,薩滿,Shaman,シャーマン,战斗开始时随机赋予敌人1层易伤。,戰鬥開始時隨機賦予敵人1層易傷。,Randomly inflict 1 stack of {buff_vulnerability} on an enemy at the start of combat.,戦闘開始時、ランダムな敵1体に脆弱を1スタック付与する。,,,
21,通用,国王,國王,King,国王,获得40金币。,獲得40金幣。,Gain 40 gold.,40ゴールドを獲得する。,,,
22,通用,教皇,教宗,Pope,教皇,你获得的金币额外增加10%。,你獲得的金幣額外增加10%。,Increase the amount of gold you earn by 10%.,獲得するゴールドが10%増加する。,,,
23,高级,审判,審判,Judgement,審判,战斗开始时获得1层狂暴。,戰鬥開始時獲得1層狂暴。,Gain 1 stack of {buff_frenzy} at the start of combat.,戦闘開始時に狂暴を1スタック獲得する。,,,
24,高级,血鬼,血鬼,Blood Demon,血鬼,战斗开始时你获得鬼化。,戰鬥開始時你獲得鬼化。,Gain {buff_oniblood} at the start of combat.,戦闘開始時に鬼化を獲得する。,,,
*101,魔力,超凡之始-力,超凡之始-力,Beginning of the Extraordinary - Strength,超越の始まり-力,"魔力大于等于10时,战斗开始时第一次伤害+6。","魔力大於等於10時,戰鬥開始時第一次傷害+6。",First damage dealt at the start of the battle is increased by 6.,魔力が10以上の場合、戦闘開始時の最初のダメージ+6。,魔力开始在你指尖涌动。,Magic begins to flow from your fingertips.,魔力が指先から溢れ始める。
