Id,第 1 列,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,FALSE,类型,备注,名称,,Name,,描述,,Description,
1,TRUE,技能牌,"通用,充能",冥想,冥想,Meditation,瞑想,"抽到时获得{0}点魔能,抽{1}张牌。","抽到時獲得{0}點魔能,抽{1}張牌。","When drawn, gain {0} mana and draw {1} card(s).",引いた時、{0}マナを獲得し、カードを{1}枚引く。
2,TRUE,技能牌,"通用,生存",生命回溯,生命回溯,Life Rewind,生命巻き戻し,"将你的血量回归到刻录的时间节点,如果没有刻录,那就刻录一次。","將你的血量回歸到刻錄的時間節點,如果沒有刻錄,那就刻錄一次。","Return your health to the recorded time point. If not recorded, record it once.",あなたのHPを記録した時点に戻す。記録がない場合は、一度記録する。
3,TRUE,技能牌,"通用,生存",招架,招架,Parry,パリィ,"结束你的回合,获得{0}层坚毅。","結束你的回合,獲得{0}層堅毅。",End your turn and gain {0} layers of {buff_impregnable} for two turns.,あなたのターンを終了し、堅毅を{0}スタック獲得する。
4,TRUE,技能牌,通用，充能，负面,魔能榨取,魔能榨取,Mana Drain,魔力搾取,"获得{0}点魔能,获得{1}层失能。","得到{0}點魔能,獲得{1}層毒素。",Gain {0} mana and {1} layer(s) of {buff_toxin}.,{0}マナを獲得し、毒素を{1}スタック獲得する。
5,TRUE,技能牌,"通用,充能,负面",思维榨取,思維榨取,Mind Drain,思考搾取,"抽取{0}张卡牌,获得{1}层毒素。","抽取{0}張卡牌,獲得{1}層毒素。",Draw {0} cards and gain {1} layer of {buff_toxin}.,カードを{0}枚引き、毒素を{1}スタック獲得する。
6,TRUE,技能牌,"通用,生存",强化护盾,強化護盾,Reinforced Shield,強化シールド,所有魔女获得{0}点护盾。,所有魔女獲得{0}點護盾。,All witches Gain {0} shield.,全ての魔女が{0}シールドを獲得する。
7,TRUE,技能牌,"通用,生存",反击姿态,反擊姿態,Counter Stance,反撃の構え,"获得{0}层强韧,{1}层反击,{2}层坚毅。","獲得{0}層強韌,{1}層反擊,{2}層堅毅。","Gain {0} layers of {buff_resilient}, {1} layer of {buff_counterattack}, and {2} layers of {buff_impregnable}.",強靭を{0}スタック、反撃を{1}スタック、堅毅を{2}スタック獲得する。
8,TRUE,技能牌,"通用,生存",加速术,加速術,Acceleration,加速術,获得{0}层不屈。,得到{0}層不屈。,Gain {0} layers of {buff_unyielding}.,不屈を{0}スタック獲得する。
9,TRUE,技能牌,"通用,生存",狂暴化,狂暴化,Berserk,狂暴化,获得{0}层狂暴。,獲得{0}層狂暴。,Gain {0} layers of {buff_frenzy}.,狂暴を{0}スタック獲得する。
10,TRUE,技能牌,"通用,生存",庇护术,庇護術,Sanctuary,庇護術,获得{0}层增生。,獲得{0}層增生。,Gain {0} layers of {buff_mitosis}.,増殖を{0}スタック獲得する。
